covariance_type,weight_concentration_prior,max_components,effective_components,active_components,lower_bound,silhouette_score,soft_silhouette_score,mean_membership_confidence,reg_covar
full,100.0,10,10,10,310855.06693709694,0.237319678068161,0.2580357339353682,0.9116395210674229,0.0003251746594905853
full,0.01,10,10,10,311401.83501723525,0.23716536164283752,0.257929586399645,0.9116293080323765,0.0003251746594905853
full,500.0,10,10,10,309483.5741231934,0.23684760928153992,0.25782969145665585,0.9115256612847885,0.0003251746594905853
full,1.0,10,10,10,311388.20510698785,0.23704437911510468,0.25780352384854044,0.9117193313929786,0.0003251746594905853
tied,500.0,10,10,10,297799.1846264,0.19417694211006165,0.2141910286371152,0.9017345967777334,0.0003251746594905853
tied,100.0,10,10,10,299170.64499541064,0.19417694211006165,0.21415122019358937,0.9017299916189592,0.0003251746594905853
tied,1.0,10,10,10,299703.91366067703,0.19417694211006165,0.21413725883126028,0.9017282116060753,0.0003251746594905853
tied,0.01,10,10,10,299717.4312410352,0.19417694211006165,0.21413710525253332,0.9017281933291602,0.0003251746594905853
diag,500.0,10,10,10,186734.560147119,0.2071806639432907,0.21313287468043252,0.9754436470654257,0.0003251746594905853
diag,100.0,10,10,10,188106.0294902139,0.2071806639432907,0.2131327052381193,0.9754442672001866,0.0003251746594905853
diag,1.0,10,10,10,188639.30569207724,0.2071806639432907,0.21313260410168344,0.9754444822870211,0.0003251746594905853
diag,0.01,10,10,10,188652.82336626906,0.2071806639432907,0.21313260286704913,0.9754444846296263,0.0003251746594905853
full,100.0,15,15,15,314609.08557136956,0.18699151277542114,0.20552803254517096,0.9011905093685324,0.0003251746594905853
full,100.0,15,15,15,314609.08557136956,0.18699151277542114,0.20552803254517096,0.9011905093685324,0.0003251746594905853
full,500.0,15,15,15,313236.79404885625,0.18630309402942657,0.20499384211474478,0.9010370639239343,0.0003251746594905853
full,0.01,15,15,15,315158.73668433056,0.18072588741779327,0.20078413589353572,0.89037896426888,0.0003251746594905853
full,1.0,15,15,15,315145.2666559203,0.1803339272737503,0.20056977539988055,0.890295419395395,0.0003251746594905853
full,100.0,20,20,20,317528.7580002601,0.1758376806974411,0.1958698300845782,0.8875584381705255,0.0003251746594905853
full,0.01,20,20,20,318076.7017847555,0.17567653954029083,0.1957804569321712,0.8875495089892596,0.0003251746594905853
full,500.0,20,20,20,316155.2095996072,0.17581547796726227,0.19575168217213706,0.8875595780013216,0.0003251746594905853
full,1.0,20,20,20,318062.9755730944,0.1753244549036026,0.195531361117544,0.8875610909690332,0.0003251746594905853
tied,500.0,15,15,15,302805.37630773435,0.17482568323612213,0.1932686265064612,0.8966707818871756,0.0003251746594905853
tied,100.0,15,15,15,304177.4653805329,0.17456302046775818,0.1931389471449335,0.896670468038637,0.0003251746594905853
tied,1.0,15,15,15,304710.9322188897,0.17456302046775818,0.19313738297685856,0.8966705556182714,0.0003251746594905853
tied,0.01,15,15,15,304724.4519219561,0.17456302046775818,0.19313736587475053,0.8966705581190607,0.0003251746594905853
full,100.0,20,20,20,317590.32542107045,0.16403728723526,0.18672651185694028,0.8835985494148151,0.0003251746594905853
diag,500.0,15,15,15,198385.81618410113,0.15813511610031128,0.16422510537593885,0.9675757882720147,0.0003251746594905853
diag,100.0,15,15,15,199758.0773509893,0.15813511610031128,0.1642232959507187,0.9675759433422291,0.0003251746594905853
diag,1.0,15,15,15,200291.608918417,0.15813511610031128,0.16422249328387897,0.9675759722314539,0.0003251746594905853
diag,0.01,15,15,15,200305.12935261268,0.15813511610031128,0.16422248382607404,0.9675759724333635,0.0003251746594905853
tied,500.0,20,20,20,306288.9458809882,0.14134137332439423,0.16269447890514757,0.8860108849308315,0.0003251746594905853
tied,100.0,20,20,20,307662.2317494945,0.14134137332439423,0.16266792107065242,0.886009053713824,0.0003251746594905853
tied,1.0,20,20,20,308196.13498825626,0.1411464661359787,0.16249457014380372,0.8860105405366271,0.0003251746594905853
tied,0.01,20,20,20,308209.65968865424,0.1411464661359787,0.16249437909660883,0.8860105455203032,0.0003251746594905853
diag,0.01,30,30,30,218426.83910213254,0.15274187922477722,0.16021154892828768,0.9618179943901478,0.0003251746594905853
diag,1.0,30,30,30,218413.31133782511,0.15274187922477722,0.1602115420410582,0.9618180273682417,0.0003251746594905853
diag,100.0,30,30,30,217879.09268565153,0.15274187922477722,0.1602108822078217,0.9618198419485496,0.0003251746594905853
diag,500.0,30,30,30,216504.5833858368,0.15274187922477722,0.160209596919396,0.9618233061044928,0.0003251746594905853
diag,100.0,50,50,50,230184.900701407,0.14631326496601105,0.1547339042245684,0.9550551084939585,0.0003251746594905853
diag,1.0,50,50,50,230720.63000869288,0.14631326496601105,0.1547337518876897,0.9550558066940039,0.0003251746594905853
diag,0.01,50,50,50,230734.17509346173,0.14631326496601105,0.15473374766831988,0.9550558169783784,0.0003251746594905853
diag,500.0,50,50,50,228806.20663439398,0.14631326496601105,0.15473349173301457,0.9550542343888317,0.0003251746594905853
diag,500.0,25,25,25,211265.23198233332,0.14585714042186737,0.15291087428761935,0.9637421143045768,0.0003251746594905853
diag,100.0,25,25,25,212639.47736426545,0.14585714042186737,0.15290968007119413,0.9637408860170122,0.0003251746594905853
diag,1.0,25,25,25,213173.68851646787,0.14585714042186737,0.15290920675488545,0.9637405533206077,0.0003251746594905853
diag,0.01,25,25,25,213187.21652936126,0.14585714042186737,0.15290920193910842,0.9637405538955377,0.0003251746594905853
diag,500.0,20,20,20,205850.84224717258,0.1451403945684433,0.15203357329844044,0.9640318731183395,0.0003251746594905853
diag,500.0,40,40,40,223906.30584899438,0.14452597498893738,0.1516863925094182,0.9599270867593079,0.0003251746594905853
diag,100.0,40,40,40,225283.0769693195,0.14452597498893738,0.1516842770176294,0.959929779799977,0.0003251746594905853
diag,1.0,40,40,40,225818.30166283436,0.14452597498893738,0.15168118712296952,0.9599349818929889,0.0003251746594905853
diag,0.01,40,40,40,225831.84267733726,0.14452597498893738,0.15168112533984543,0.959935087513006,0.0003251746594905853
tied,0.01,25,25,25,311318.26866313524,0.1288832724094391,0.15022981789825463,0.8786808722086994,0.0003251746594905853
tied,1.0,25,25,25,311304.740479662,0.1288832724094391,0.1502297835653624,0.8786809034400005,0.0003251746594905853
tied,100.0,25,25,25,310770.51274489955,0.1288832724094391,0.15022706989549026,0.8786830713249624,0.0003251746594905853
tied,500.0,25,25,25,309396.2203356379,0.1288786083459854,0.15019658104341913,0.8786869075313835,0.0003251746594905853
diag,0.01,20,20,20,207771.9070955875,0.14272259175777435,0.14995486481665854,0.9648390303668788,0.0003251746594905853
diag,1.0,20,20,20,207758.38495518098,0.14272259175777435,0.14995486165751865,0.9648390359802795,0.0003251746594905853
diag,100.0,20,20,20,207224.683636125,0.14272259175777435,0.14995457977345214,0.9648394946275353,0.0003251746594905853
diag,500.0,60,59,59,233153.17629515537,0.1367296278476715,0.14513360537994474,0.9523843517071996,0.0003251746594905853
diag,100.0,60,59,59,234532.51721131202,0.1367296278476715,0.1451327727902726,0.9523812065959159,0.0003251746594905853
diag,1.0,60,59,59,235068.41799903012,0.1367296278476715,0.14513177669084334,0.9523806077374386,0.0003251746594905853
diag,0.01,60,59,59,235081.96532620955,0.1367296278476715,0.14513175886681923,0.9523805989510105,0.0003251746594905853
full,100.0,25,25,25,320344.33453606494,0.12298709899187088,0.14412765430585586,0.8736038275937877,0.0003251746594905853
full,1.0,25,25,25,320894.7946536159,0.11995825916528702,0.14021503409506128,0.8742512921416075,0.0003251746594905853
full,0.01,25,25,25,320908.26300888706,0.1196175366640091,0.13993470282208553,0.8742198272864702,0.0003251746594905853
full,500.0,25,25,25,318984.96264160716,0.11951375007629395,0.139737411944743,0.8741516875483684,0.0003251746594905853
full,1.0,30,30,29,323603.16936739965,0.12020683288574219,0.13901738305169956,0.8731307243405041,0.0003251746594905853
full,500.0,30,30,29,321693.3754178711,0.11973071098327637,0.13889809848794382,0.8730133373099509,0.0003251746594905853
full,0.01,30,30,29,323616.61944895744,0.11973526328802109,0.13882843818682286,0.8730324750445083,0.0003251746594905853
full,100.0,30,30,29,323068.607530421,0.11979790776968002,0.13880234520597928,0.8731312433183114,0.0003251746594905853
full,100.0,30,30,29,323068.607530421,0.11979790776968002,0.13880234520597928,0.8731312433183114,0.0003251746594905853
tied,500.0,30,30,30,312424.2414726065,0.11466103792190552,0.13544008571244529,0.8759528655444121,0.0003251746594905853
tied,100.0,30,30,30,313800.0138209707,0.11415541172027588,0.1351124798890012,0.8759544761825327,0.0003251746594905853
tied,0.01,30,30,30,314348.47279192635,0.11400941759347916,0.13503631296603008,0.8759499277433619,0.0003251746594905853
tied,1.0,30,30,30,314334.9354494735,0.11400941759347916,0.1350361652205491,0.8759499973255664,0.0003251746594905853
tied,0.01,40,40,40,319872.9074022397,0.0950317233800888,0.11522023229894741,0.8535407013065216,0.0003251746594905853
tied,500.0,40,40,40,317948.19876128755,0.09493086487054825,0.11517841857579579,0.8535408642061765,0.0003251746594905853
tied,100.0,40,40,40,319324.4749756674,0.09493086487054825,0.1151762452759751,0.8535403430532174,0.0003251746594905853
tied,1.0,40,40,40,319859.3725961234,0.09493086487054825,0.11517503676974745,0.8535407531587008,0.0003251746594905853
full,500.0,40,40,40,326976.6826488876,0.09092361479997635,0.11288110369743178,0.8712295691060434,0.0003251746594905853
full,0.01,40,40,40,328903.77020879317,0.09062729775905609,0.11274354668379286,0.8712460596096645,0.0003251746594905853
full,1.0,40,40,40,328890.25283596484,0.09058991819620132,0.11272368954024378,0.8712222958194162,0.0003251746594905853
full,100.0,40,40,40,328354.66177629004,0.09023042023181915,0.11265149345574785,0.8712173366529818,0.0003251746594905853
tied,0.01,60,60,60,330836.73321439023,0.07293591648340225,0.09390525317106534,0.8480277693556828,0.0003251746594905853
tied,1.0,60,60,60,330823.1890314673,0.07293591648340225,0.09390519415004742,0.8480279226922527,0.0003251746594905853
tied,100.0,60,60,60,330287.4788066391,0.07293591648340225,0.09389741503084385,0.8480439414806146,0.0003251746594905853
tied,500.0,60,60,60,328908.39050934796,0.07266999781131744,0.09367338547576484,0.8480831856279679,0.0003251746594905853
tied,500.0,50,50,50,323545.74234662077,0.07307862490415573,0.09343595198897782,0.8549261271726043,0.0003251746594905853
tied,100.0,50,50,50,324923.6204172872,0.07307862490415573,0.09343306598741258,0.8549293811783786,0.0003251746594905853
tied,1.0,50,50,50,325458.949064312,0.07307862490415573,0.09342968744913631,0.8549306106751008,0.0003251746594905853
tied,0.01,50,50,50,325472.48896399885,0.07307862490415573,0.09342963836094585,0.8549306299565191,0.0003251746594905853
full,100.0,50,50,49,333565.2902933518,0.07315881550312042,0.09171579984310785,0.864973236628194,0.0003251746594905853
full,1.0,50,50,49,334101.9908316522,0.07317356020212173,0.09169830821519995,0.8649175085696496,0.0003251746594905853
full,0.01,50,50,49,334115.51629164,0.07317356020212173,0.09169280528787571,0.8649178857014582,0.0003251746594905853
full,500.0,50,50,49,332184.05409906997,0.07145698368549347,0.09047899498105617,0.8651284633897279,0.0003251746594905853
full,0.01,60,60,57,339548.2783287693,0.05607745423913002,0.0780833319626765,0.8608313657068508,0.0003251746594905853
full,1.0,60,60,57,339533.74206627265,0.05604860931634903,0.0779621061981761,0.8609463831896934,0.0003251746594905853
full,100.0,60,60,58,338993.43602656416,0.05565532669425011,0.07788608029232434,0.8609547607705126,0.0003251746594905853
full,500.0,60,60,57,337562.59480744763,0.048319652676582336,0.0666067825404001,0.8647936667758198,0.0003251746594905853
